# Sensor: Sensor Node loads [Node TW_1 | Tubular tower]      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      
Time [s]      	Gravity load - material (1129) (mag.)      [    k N      ]      	Gravity load - material (1129) (sign)      [    k N      ]      	Gravity load - material (1129)     .x      [    k N      ]      	Gravity load - material (1129)     .y      [    k N      ]      	Gravity load - material (1129)     .z      [    k N      ]      
----------	----------	----------	----------	----------	----------      
    Min      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    Max      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
  14.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   15.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  15.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     16      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  16.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   16.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
